id,historico_id,serie_id,ano,estabelecimento,municipio,uf
42,5,16,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
43,5,17,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
44,7,7,2005,"JARDIM ESCOLA MENINO JESUS DE PRAGA","NATAL / RN",RN
45,7,8,2006,"JARDIM ESCOLA CASINHA FELIZ","NATAL / RN",RN
46,7,9,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
47,7,10,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
48,7,11,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
49,7,12,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
50,7,13,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
51,7,14,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
52,8,6,2007,"CENTRO DE APRENDIZAGEM","NATAL / RN",RN
53,8,7,2008,"CENTRO DE APRENDIZAGEM","NATAL / RN",RN
54,8,8,2009,"CENTRO DE APRENDIZAGEM","NATAL/ RN",RN
55,8,9,2010,"CENTRO EDUCACIONAL ALFERES TIRADENTES","NATAL / RN",RN
56,8,10,2011,"CENTRO EDUCACIONAL ALFERES TIRADENTES","NATAL / RN",RN
57,8,11,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
58,8,12,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
59,9,6,2005,"CENTRO DE APRENDIZAGEM","NATAL / RN",RN
60,9,7,2006,"CENTRO DE APRENDIZAGEM","NATAL / RN",RN
61,9,8,2007,"CENTRO DE APRENDIZAGEM","NATAL / RN",RN
62,9,9,2008,"CENTRO DE APRENDIZAGEM","NATAL / RN",RN
63,9,10,2009,"CENTRO EDUCATIVO POTENGI","NATAL / RN",RN
64,9,11,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
65,9,12,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
66,10,6,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
67,10,7,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
68,10,8,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
69,10,9,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
70,11,6,2007,"JARDIM ESCOLA A ESTRELINHA","NATAL / RN",RN
71,11,7,2008,"JARDIM ESCOLA A ESTRELINHA","NATAL / RN",RN
72,11,8,2009,"JARDIM ESCOLA A ESTRELINHA","NATAL / RN",RN
73,11,9,2010,"JARDIM ESCOLA A ESTRELINHA","NATAL / RN",RN
74,11,10,2011,"JARDIM ESCOLA A ESTRELINHA","NATAL / RN",RN
75,11,11,2012,"COLÉGIO CAMINHO DO SABER","NATAL / RN",RN
76,11,12,2013,"COLÉGIO CAMINHO DO SABER","NATAL / RN",RN
78,12,7,2006,"CENTRO EDUCACIONAL O PIMPOLHO","NATAL / RN",RN
79,12,8,2007,"CENTRO EDUCACIONAL O PIMPOLHO","NATAL / RN",RN
80,12,9,2008,"CENTRO EDUCACIONAL O PIMPOLHO","NATAL / RN",RN
81,12,10,2009,"CENTRO EDUCACIONAL O PIMPOLHO","NATAL / RN",RN
82,12,11,2010,"COLÉGIO FERREIRA BRANDÃO","NATAL / RN",RN
83,12,12,2011,"INSTITUTO EDUCACIONAL O MESTRE","NATAL / RN",RN
84,12,13,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
85,12,14,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
86,13,6,2012,"ESCOLA ESTADUAL PROFESSORA MARIA ALINA PINHEIRO","AFONSO BEZERRA / RN",RN
87,13,7,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
88,14,6,2008,"JARDIM ESCOLA O PAIS DAS LETRAS","NATAL / RN",RN
89,14,7,2009,"JARDIM ESCOLA O PAIS DAS LETRAS","NATAL / RN",RN
