id,sessionid,login,login_time,login_year,login_month,login_day,logout_time,impersonated,access_ip,impersonated_by
110,425a845fee8aeb1ed594042389699b61,luciene,"2023-11-30 16:15:34",2023,11,30,"0000-00-00 00:00:00",N,10.101.20.89,
111,8530691fb1e91030c56791c01895a95f,luciene,"2023-12-01 13:40:09",2023,12,01,"0000-00-00 00:00:00",N,10.101.20.89,
112,31aa18925e29d3a16e5f64d88a636621,luciene,"2023-12-04 17:29:45",2023,12,04,"0000-00-00 00:00:00",N,10.101.20.89,
113,13ca1a12d682b3542cdaf21579d76c60,luciene,"2023-12-05 11:49:18",2023,12,05,"0000-00-00 00:00:00",N,10.101.20.89,
114,b7c79ac70bb046e9bf348a87f34cfe1b,luciene,"2023-12-05 12:14:07",2023,12,05,"0000-00-00 00:00:00",N,10.101.20.89,
115,4b737653ab4be223496900a67b1d0971,luciene,"2023-12-06 10:46:47",2023,12,06,"0000-00-00 00:00:00",N,10.101.20.89,
116,b4cc490185012739e6a58c3c2af8200b,luciene,"2023-12-06 14:58:15",2023,12,06,"0000-00-00 00:00:00",N,10.101.20.89,
117,79c3167bd4fd4eed2b75463deff1a611,luciene,"2023-12-06 17:52:37",2023,12,06,"0000-00-00 00:00:00",N,10.101.20.89,
118,074df19af5fc31b4567570287b593a65,luciene,"2023-12-07 08:07:48",2023,12,07,"0000-00-00 00:00:00",N,10.101.20.89,
119,9497b6648dbac7171b06c88b597ec877,luciene,"2023-12-07 13:24:46",2023,12,07,"0000-00-00 00:00:00",N,10.101.20.89,
120,fbd756f540823ae6f463f809f449ab26,luciene,"2023-12-08 15:54:19",2023,12,08,"0000-00-00 00:00:00",N,10.101.20.89,
121,7ee61dcc30527ad52c1896775e1a2960,luciene,"2023-12-12 15:24:05",2023,12,12,"0000-00-00 00:00:00",N,10.101.20.89,
122,32cfde3bc76c7f41797ebfd6ab7eb788,luciene,"2023-12-13 15:40:27",2023,12,13,"0000-00-00 00:00:00",N,10.101.20.89,
123,c9cd72b91bead86c61e9677771e74eba,luciene,"2023-12-14 09:12:59",2023,12,14,"0000-00-00 00:00:00",N,10.101.20.89,
124,48f8c56ce58091d5ad65afa6bfffb4e3,admin,"2023-12-14 11:17:08",2023,12,14,"0000-00-00 00:00:00",N,10.101.20.89,
125,17b83ef5cf131ae57d58b42167b3de4e,luciene,"2023-12-15 07:49:12",2023,12,15,"0000-00-00 00:00:00",N,10.101.20.89,
126,3a9e4e32b5929561540d741930321cfe,luciene,"2023-12-18 10:44:56",2023,12,18,"0000-00-00 00:00:00",N,10.101.20.89,
127,d993da4e2dce44311ef3e251752ab59e,luciene,"2023-12-18 13:52:21",2023,12,18,"0000-00-00 00:00:00",N,10.101.20.89,
128,7711d28c13bc6ca88bac2262637660e6,luciene,"2023-12-19 14:02:55",2023,12,19,"0000-00-00 00:00:00",N,10.101.20.89,
129,c690bad5630e331fdbcf8a94e9d83635,luciene,"2023-12-19 16:26:10",2023,12,19,"0000-00-00 00:00:00",N,10.101.20.89,
130,8edcfed6d26c1774055da80135fb735f,luciene,"2023-12-20 09:22:28",2023,12,20,"0000-00-00 00:00:00",N,10.101.20.89,
131,14a4475bdf0905a9867ccbc9915e1e9b,luciene,"2023-12-20 14:46:37",2023,12,20,"0000-00-00 00:00:00",N,10.101.20.89,
132,8793e071f28b3ba817c1830a78d3df5d,luciene,"2023-12-21 08:11:57",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
133,58f9bfb5b43ea4b80c373ee741fe26d7,luciene,"2023-12-21 13:38:32",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
134,129901ed5190cba959f8df22f74847a6,admin,"2023-12-21 13:52:19",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
135,4ec4736500b9792137ba51963b0875f4,thainara,"2023-12-21 15:54:51",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
136,91f02ae5dc0968a8732221e53d855ca6,luciene,"2023-12-22 07:27:31",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
137,4fa965d21272851614051e97cd0ec1ee,luciene,"2023-12-22 13:37:53",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
138,11d8a018bf15bd8c587135fc586b0f66,admin,"2023-12-22 13:50:52",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
139,2b2c3d6bd2748743a27e066d75f0dbe6,admin,"2023-12-22 13:57:07",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
140,eac048b65797fa7bfefeb02f027a4942,luciene,"2023-12-22 14:07:04",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
141,cl268el4e0ktovo28mrckk9p6t,admin,"2024-01-04 11:56:55",2024,01,04,"2024-01-04 17:58:00",N,::1,
142,1de78kt4sft0esj9opio0lcp09,admin,"2024-01-04 19:07:48",2024,01,04,"2024-01-04 19:45:34",N,::1,
143,46mtfacbfflks0d12psrneedpk,admin,"2024-01-04 19:45:43",2024,01,04,"2024-01-04 19:54:15",N,::1,
144,cv8jo21515lust24rq8rha1r25,admin,"2024-01-04 19:54:21",2024,01,04,"2024-01-04 19:55:32",N,::1,
145,289dgdt4svp18j51f9qjdd8vlp,admin,"2024-01-04 20:00:58",2024,01,04,"2024-01-04 20:05:16",N,127.0.0.1,
146,f07idivp4pjpc4c9jglla9fo4s,admin,"2024-01-04 20:05:22",2024,01,04,"0000-00-00 00:00:00",N,127.0.0.1,
