id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
4137,638,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4138,638,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4139,638,Frequência,-,100%,100%,100%,100%,"97,5",-,-,-,-,-,-
4140,638,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4144,639,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4145,639,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4146,639,Frequência,99%,99%,99%,81%,94%,-,-,-,-,-,-,-
4147,639,"Resultado Final",AP,AP,AP,AP,AP,TRAN,-,-,-,-,-,-
4151,640,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4152,640,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4153,640,Frequência,100%,-,-,-,-,-,-,-,-,-,-,-
4154,640,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4158,641,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4159,641,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4160,641,Frequência,100%,-,-,-,-,-,-,-,-,-,-,-
4161,641,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4165,642,"Dias Letivos",,200,200,200,200,,200,200,200,200,-,-
4166,642,"Carga Horária",,1000,1000,1000,1000,,1000,1000,1000,1040,-,-
4167,642,Frequência,,,,,,,95%,95%,97%,95%,-,-
4168,642,"Resultado Final",,AP,AP,AP,AP,,AP,AP,AP,REP,-,-
4172,643,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4173,643,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4174,643,Frequência,96%,-,-,-,-,-,-,-,-,-,-,-
4175,643,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4179,644,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4180,644,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4181,644,Frequência,86%,99%,98%,96%,99%,95%,91%,-,-,-,-,-
4182,644,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4186,645,"Dias Letivos",200,200,200,200,200,200,110,110,200,-,-,-
4187,645,"Carga Horária",1000,1000,1000,1000,1000,1000,422,410,1000,-,-,-
4188,645,Frequência,-,-,-,-,-,-,-,-,75%,-,-,-
4189,645,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4193,646,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4194,646,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4195,646,Frequência,100%,100%,98%,100%,99%,85%,90%,88%,62%,-,-,-
4196,646,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,REP,-,-,-
4200,647,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4201,647,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4202,647,Frequência,100%,100%,100%,100%,96%,91%,-,-,-,-,-,-
4203,647,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4207,648,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4208,648,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4209,648,Frequência,100%,-,-,-,-,-,-,-,-,-,-,-
4210,648,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4214,649,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
4215,649,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4216,649,Frequência,97%,88%,-,-,-,-,-,-,-,-,-,-
4217,649,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
4221,650,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
